candle_begin_time,open,high,low,close,volume
2021-07-07 01:02:00,3.25,3.27,3.2163,3.2699,2707.7831387699994
2021-07-07 01:03:00,3.27,3.27,3.2671,3.2671,335.09999999999997
2021-07-07 01:04:00,3.2656,3.2656,3.2625,3.2625,355.70000000000005
2021-07-07 01:05:00,3.2609,3.2609,3.2584,3.26,223.9
2021-07-07 01:06:00,3.265,3.265,3.265,3.265,185.8
2021-07-07 01:07:00,3.267,3.267,3.267,3.267,246.10000000000002
2021-07-07 01:08:00,3.267,3.267,3.2452,3.267,403.06000000000006
2021-07-07 01:09:00,3.267,3.267,3.2659,3.2659,178.8
2021-07-07 01:10:00,3.2655,3.2880000000000003,3.2653,3.2857,1498.87426487
2021-07-07 01:11:00,3.2853,3.2853,3.2831,3.2831,198.4
2021-07-07 01:12:00,3.2821,3.2821,3.2710000000000004,3.2710000000000004,323.50807856
2021-07-07 01:13:00,3.2710000000000004,3.2793,3.2710000000000004,3.2710000000000004,420.23884641000006
2021-07-07 01:14:00,3.2737,3.2737,3.2710000000000004,3.2710000000000004,2462.7619342099993
2021-07-07 01:15:00,3.2710000000000004,3.2711,3.2710000000000004,3.2710000000000004,2925.5406391899996
2021-07-07 01:16:00,3.2710000000000004,3.2711,3.2710000000000004,3.2710000000000004,1950.4656551899998
2021-07-07 01:17:00,3.2711,3.2711,3.2710000000000004,3.2710000000000004,2083.3204895999997
2021-07-07 01:18:00,3.2710000000000004,3.2711,3.24,3.2682,922.2869730500001
2021-07-07 01:19:00,3.2675,3.2680000000000002,3.2665,3.2669,239.10000000000002
2021-07-07 01:20:00,3.2662,3.27,3.2656,3.2688,249.20000000000002
2021-07-07 01:21:00,3.2655,3.2686,3.2655,3.2673,208.99
2021-07-07 01:22:00,3.267,3.2798,3.2664,3.2792,890.6455950900001
2021-07-07 01:23:00,3.25,3.2774,3.25,3.2754,167.61471170000002
2021-07-07 01:24:00,3.2737,3.2738,3.2722,3.2722,170.5
2021-07-07 01:25:00,3.2715,3.272,3.255,3.272,425.22874068000004
2021-07-07 01:26:00,3.2718,3.28,3.2694,3.2715,182.8
2021-07-07 01:27:00,3.2713,3.2713,3.24,3.2697,722.4784077700002
2021-07-07 01:28:00,3.2697,3.3214,3.2688,3.2688,2781.7385840300008
2021-07-07 01:29:00,3.2680000000000002,3.2680000000000002,3.2674,3.2674,209.20999999999998
2021-07-07 01:30:00,3.2672,3.2672,3.26,3.266,362.89303270000005
2021-07-07 01:31:00,3.2658,3.2828,3.26,3.2826,366.0593665
2021-07-07 01:32:00,3.2818,3.2818,3.2601,3.2793,424.0
2021-07-07 01:33:00,3.2781,3.2781,3.275,3.275,149.6
2021-07-07 01:34:00,3.2733,3.2733,3.2508,3.2701,287.533744
2021-07-07 01:35:00,3.2689,3.27,3.2679,3.2698,183.0
2021-07-07 01:36:00,3.2676,3.2827,3.2676,3.2827,149.5
2021-07-07 01:37:00,3.2793,3.2793,3.2403,3.2403,758.43214336
2021-07-07 01:38:00,3.2507,3.2769,3.2402,3.2756,271.57921375
2021-07-07 01:39:00,3.2725,3.2725,3.24,3.24,721.82763172
2021-07-07 01:40:00,3.24,3.2667,3.24,3.24,714.8274457299999
2021-07-07 01:41:00,3.264,3.264,3.24,3.24,422.84890121000007
2021-07-07 01:42:00,3.24,3.26,3.2399,3.24,712.8134810700001
2021-07-07 01:43:00,3.2578,3.2599,3.2277,3.2584,446.7158663700001
2021-07-07 01:44:00,3.2575,3.2575,3.2483,3.2483,245.3
